Datetime,log_rv,log_vol,returns
2025-11-10 09:00:00+01:00,-6.003143872074261,11.75351592988816,-0.003789739540034478
2025-11-10 10:00:00+01:00,-6.438349255447443,11.958002235442097,0.00265411484545734
2025-11-10 11:00:00+01:00,-6.45480509257402,11.317263316879199,-0.0012630855742106484
2025-11-10 12:00:00+01:00,-6.360537437423239,11.263707409192737,0.0012630224352681609
2025-11-10 13:00:00+01:00,-6.205066186393897,11.06052596967285,-0.0007576412914216338
2025-11-10 14:00:00+01:00,-6.115033182509494,12.914236509200212,0.0022712019325359513
2025-11-10 15:00:00+01:00,-5.751286565946756,11.779189806547945,-0.003408406285814294
2025-11-10 16:00:00+01:00,-5.905756115518514,12.38330209284605,0.0006320134544817588
2025-11-10 17:00:00+01:00,-7.559981910672295,11.304621263852658,0.0006317106208298253
2025-11-11 09:00:00+01:00,-4.819748254568072,12.29761665128683,0.002752080971236805
2025-11-11 10:00:00+01:00,-6.170044040805,11.87553874205544,0.0014978796493418961
2025-11-11 11:00:00+01:00,-5.8949239259422725,12.687955437305988,0.005721397417698265
2025-11-11 12:00:00+01:00,-6.126520015247609,11.735460831377486,0.0019822065421142097
2025-11-11 13:00:00+01:00,-6.517410485385809,12.067488509269,0.0029655958007933003
2025-11-11 14:00:00+01:00,-6.761353624461071,11.720711693963397,0.0004935338274623008
2025-11-11 15:00:00+01:00,-5.923380036581294,12.352749753374662,0.001602525862983186
2025-11-11 16:00:00+01:00,-5.736406454732177,12.68718929577948,0.0013539371461233013
2025-11-11 17:00:00+01:00,-6.782750681792208,11.073101804225626,0.0012291803755760736
2025-11-12 09:00:00+01:00,-5.851538719271512,11.978613545617103,0.001843790415068419
2025-11-12 10:00:00+01:00,-6.003237333561198,12.264067931317312,-0.003197667610186769
2025-11-12 11:00:00+01:00,-6.046389182771031,12.108564552082306,0.002214844072167248
2025-11-12 12:00:00+01:00,-6.242753056775902,11.067918792241455,-0.00098379043048885
2025-11-12 13:00:00+01:00,-6.47018530956424,12.189938182286568,0.0011067196511210043
2025-11-12 14:00:00+01:00,-6.636657005188985,12.403151443299036,0.0014735986546953082
2025-11-12 15:00:00+01:00,-6.049185064522066,12.532840806689157,0.0040424116102352635
2025-11-12 16:00:00+01:00,-6.403494678778467,11.899744476742386,-0.002325469956219876
2025-11-12 17:00:00+01:00,-7.378581525235739,11.055735390370147,0.000612351321516639
2025-11-13 09:00:00+01:00,-5.439540669338086,11.746241104725792,0.0002446371758689149
2025-11-13 10:00:00+01:00,-5.962546502056095,12.054656556631937,0.001222475397399665
2025-11-13 11:00:00+01:00,-6.31780335277546,12.282144402481418,-0.0008556897756671745
2025-11-13 12:00:00+01:00,-6.6268356954285865,12.345256159778469,-0.0022039962491484
2025-11-13 13:00:00+01:00,-5.9947239730603075,11.546118432325992,-0.003561137313343927
2025-11-13 14:00:00+01:00,-6.380956235693796,11.072216525421487,-0.0019700038346626386
2025-11-13 15:00:00+01:00,-5.66273544846621,11.667798740804955,0.0011087647348527862
2025-11-13 16:00:00+01:00,-5.976663688027856,12.256252320073257,-0.0006158390729243472
2025-11-13 17:00:00+01:00,-6.560455696166268,11.251106052044175,0.0013543433794646134
2025-11-14 09:00:00+01:00,-5.230460409407409,12.237600381934469,0.002223599476780052
2025-11-14 10:00:00+01:00,-5.821393707244484,11.796230472032498,-0.0051947943274394835
2025-11-14 11:00:00+01:00,-6.1132491251610865,12.479403479826747,-0.0017376123296970161
2025-11-14 12:00:00+01:00,-5.9495929560745475,11.91384693302852,-0.0008700478648412394
2025-11-14 13:00:00+01:00,-6.013547942587391,11.555323816386846,0.00012428659746326236
2025-11-14 14:00:00+01:00,-5.8093845803727175,12.725773765295507,0.001118731401806756
2025-11-14 15:00:00+01:00,-5.595452749793971,11.997220237620205,-0.0044815287522651254
2025-11-14 16:00:00+01:00,-5.765352663714005,12.235456675218332,-0.0021241439693379886
2025-11-14 17:00:00+01:00,-6.641911479244178,11.48629397396931,0.002249161254810451
2025-11-17 09:00:00+01:00,-5.27134462732778,11.789640114506025,-0.008607331048329229
2025-11-17 10:00:00+01:00,-6.089107765340727,11.631721320884305,-0.0005012018002307111
2025-11-17 11:00:00+01:00,-6.279158972675752,11.309939869972228,-0.0015052074511497514
2025-11-17 12:00:00+01:00,-6.647356822490414,10.718675359005099,0.0010041651765513137
2025-11-17 13:00:00+01:00,-6.086546949419155,10.720311477789672,-0.0008786757280534915
2025-11-17 14:00:00+01:00,-6.204721520753332,10.994823432233462,0.001255158588673603
2025-11-17 15:00:00+01:00,-5.597425206672605,12.570722703538415,0.004380737616203916
2025-11-17 16:00:00+01:00,-6.1055253597987935,12.444215148078177,-0.0004996367183779764
2025-11-17 17:00:00+01:00,-6.96626032518024,10.71152469897003,-0.0002498955643098946
2025-11-18 09:00:00+01:00,-4.690040854759434,12.120443948561439,-0.0008825531183229312
2025-11-18 10:00:00+01:00,-6.01024078239543,12.410000757119834,-0.0015148988956278165
2025-11-18 11:00:00+01:00,-5.909793048328186,11.679244664286678,0.003658167736412845
2025-11-18 12:00:00+01:00,-6.342850748516465,11.700756814937781,0.0
2025-11-18 13:00:00+01:00,-6.363625996842355,11.84321433822751,-0.0012599028435753073
2025-11-18 14:00:00+01:00,-6.158394548576328,12.581130091216913,-0.0025248965636141597
2025-11-18 15:00:00+01:00,-5.621391461611346,11.610786932923968,0.0015162388312081072
2025-11-18 16:00:00+01:00,-5.866360899611708,12.442720600531477,0.0005049982945759479
2025-11-18 17:00:00+01:00,-6.61295191579952,11.500943972704642,-0.0018945572742865096
